book_name,top_k,uses_hnsw,latency_ms,plan_type
00. New Spring,1,True,11.75,HNSW
00. New Spring,5,True,4.471,HNSW
00. New Spring,10,True,4.898,HNSW
00. New Spring,15,True,4.928,HNSW
00. New Spring,20,True,4.363,HNSW
00. New Spring,25,True,5.343,HNSW
00. New Spring,30,True,4.703,HNSW
00. New Spring,31,True,4.624,HNSW
00. New Spring,32,True,4.897,HNSW
00. New Spring,33,True,5.027,HNSW
00. New Spring,34,True,4.536,HNSW
00. New Spring,35,True,5.027,HNSW
00. New Spring,36,True,4.993,HNSW
00. New Spring,37,True,5.527,HNSW
00. New Spring,38,False,2182.003,Bitmap
00. New Spring,39,False,1048.029,Bitmap
08. The Path of Daggers,1,True,4.342,HNSW
08. The Path of Daggers,5,True,4.438,HNSW
08. The Path of Daggers,10,True,4.186,HNSW
08. The Path of Daggers,15,True,4.697,HNSW
08. The Path of Daggers,20,True,4.286,HNSW
08. The Path of Daggers,25,True,5.139,HNSW
08. The Path of Daggers,30,True,4.2,HNSW
08. The Path of Daggers,31,True,4.57,HNSW
08. The Path of Daggers,32,True,4.607,HNSW
08. The Path of Daggers,33,True,4.57,HNSW
08. The Path of Daggers,34,True,4.971,HNSW
08. The Path of Daggers,35,True,4.688,HNSW
08. The Path of Daggers,36,True,4.657,HNSW
08. The Path of Daggers,37,True,4.457,HNSW
08. The Path of Daggers,38,False,3604.933,Bitmap
08. The Path of Daggers,39,False,1865.399,Bitmap
09. Winter_s Heart,1,True,4.118,HNSW
09. Winter_s Heart,5,True,4.557,HNSW
09. Winter_s Heart,10,True,4.922,HNSW
09. Winter_s Heart,15,True,4.66,HNSW
09. Winter_s Heart,20,True,4.994,HNSW
09. Winter_s Heart,25,True,4.799,HNSW
09. Winter_s Heart,30,True,4.588,HNSW
09. Winter_s Heart,31,True,4.559,HNSW
09. Winter_s Heart,32,True,4.384,HNSW
09. Winter_s Heart,33,True,4.125,HNSW
09. Winter_s Heart,34,True,4.531,HNSW
09. Winter_s Heart,35,True,4.772,HNSW
09. Winter_s Heart,36,True,4.321,HNSW
09. Winter_s Heart,37,True,4.452,HNSW
09. Winter_s Heart,38,False,3877.924,Bitmap
09. Winter_s Heart,39,False,1984.79,Bitmap
03. The Dragon Reborn,1,True,4.419,HNSW
03. The Dragon Reborn,5,True,4.683,HNSW
03. The Dragon Reborn,10,True,4.803,HNSW
03. The Dragon Reborn,15,True,4.729,HNSW
03. The Dragon Reborn,20,True,4.879,HNSW
03. The Dragon Reborn,25,True,4.433,HNSW
03. The Dragon Reborn,30,True,4.803,HNSW
03. The Dragon Reborn,31,True,4.253,HNSW
03. The Dragon Reborn,32,True,4.525,HNSW
03. The Dragon Reborn,33,True,4.803,HNSW
03. The Dragon Reborn,34,True,4.617,HNSW
03. The Dragon Reborn,35,True,4.955,HNSW
03. The Dragon Reborn,36,True,4.796,HNSW
03. The Dragon Reborn,37,True,4.737,HNSW
03. The Dragon Reborn,38,False,3592.224,Bitmap
03. The Dragon Reborn,39,False,2160.304,Bitmap
02. The Great Hunt,1,True,4.713,HNSW
02. The Great Hunt,5,True,4.961,HNSW
02. The Great Hunt,10,True,4.48,HNSW
02. The Great Hunt,15,True,4.262,HNSW
02. The Great Hunt,20,True,4.14,HNSW
02. The Great Hunt,25,True,4.22,HNSW
02. The Great Hunt,30,True,4.647,HNSW
02. The Great Hunt,31,True,4.487,HNSW
02. The Great Hunt,32,True,4.119,HNSW
02. The Great Hunt,33,True,4.233,HNSW
